# file created by code in factory_simulation_2.jl
# file created on 2022-11-25 at 12:37:35
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      25.000,     3,Finish(1),before,   1,   0,   0,   1,   0
      25.000,     3,Finish(1), after,   2,   0,   0,   0,   1
      36.008,     5,Finish(2),before,   1,   0,   0,   0,   1
      36.008,     5,Finish(2), after,   1,   0,   0,   0,   0
      40.499,     2,  Arrival,before,   0,   0,   0,   0,   0
      40.499,     2,  Arrival, after,   2,   0,   0,   1,   0
      65.499,     8,Finish(1),before,   1,   0,   0,   1,   0
      65.499,     8,Finish(1), after,   2,   0,   0,   0,   1
     106.041,     7,  Arrival,before,   1,   0,   0,   0,   1
     106.041,     7,  Arrival, after,   3,   0,   0,   1,   1
     130.155,    10,Finish(2),before,   2,   0,   0,   1,   1
     130.155,    10,Finish(2), after,   2,   0,   0,   1,   0
     131.041,    12,Finish(1),before,   1,   0,   0,   1,   0
     131.041,    12,Finish(1), after,   2,   0,   0,   0,   1
     156.715,    15,Finish(2),before,   1,   0,   0,   0,   1
     156.715,    15,Finish(2), after,   1,   0,   0,   0,   0
     299.570,    11,  Arrival,before,   0,   0,   0,   0,   0
     299.570,    11,  Arrival, after,   2,   0,   0,   1,   0
     324.570,    18,Finish(1),before,   1,   0,   0,   1,   0
     324.570,    18,Finish(1), after,   2,   0,   0,   0,   1
     394.069,    20,Finish(2),before,   1,   0,   0,   0,   1
     394.069,    20,Finish(2), after,   1,   0,   0,   0,   0
     468.813,    17,  Arrival,before,   0,   0,   0,   0,   0
     468.813,    17,  Arrival, after,   2,   0,   0,   1,   0
     470.325,    22,  Arrival,before,   1,   0,   0,   1,   0
     470.325,    22,  Arrival, after,   2,   1,   0,   1,   0
     491.645,    24,  Arrival,before,   1,   1,   0,   1,   0
     491.645,    24,  Arrival, after,   2,   2,   0,   1,   0
     493.813,    23,Finish(1),before,   1,   2,   0,   1,   0
     493.813,    23,Finish(1), after,   3,   1,   0,   1,   1
     514.248,    28,Finish(2),before,   2,   1,   0,   1,   1
     514.248,    28,Finish(2), after,   2,   1,   0,   1,   0
